Index,Time,((moto_yaw)->Moto_Measure).moment,((moto_yaw)->Moto_Measure).speed_rpm,((referee_data)->PowerHeatData).chassis_power
0,0.000000,0,0,0
1,0.001780,0,0,0
2,0.002862,21,0,0
3,0.003738,14,0,0
4,0.004633,14,0,0
5,0.005992,-45,0,0
6,0.006962,-45,0,0
7,0.007763,14,0,0.490159065
8,0.008624,14,0,0.490159065
9,0.009903,-59,0,0.490159065
10,0.010704,-59,0,0.490159065
11,0.011958,21,0,0.490159065
12,0.012759,21,0,0.490159065
13,0.013623,14,0,0.490159065
14,0.014897,14,0,0.490159065
15,0.015698,21,0,0.490159065
16,0.016947,21,0,0.490159065
17,0.017918,7,0,0.490159065
18,0.018720,7,0,0.490159065
19,0.019675,-59,0,0.490159065
20,0.020947,-59,0,0.490159065
21,0.021749,14,0,0.490159065
22,0.023000,14,0,0.490159065
23,0.023889,7,0,0.490159065
24,0.024690,7,0,0.490159065
25,0.025939,21,0,0.490159065
26,0.026741,21,0,0.490159065
27,0.027992,28,0,0.468964309
28,0.028889,28,0,0.468964309
29,0.029690,14,0,0.468964309
30,0.031005,14,0,0.468964309
31,0.031894,7,0,0.468964309
32,0.032774,7,0,0.468964309
33,0.033659,14,0,0.468964309
34,0.034939,14,0,0.468964309
35,0.035740,28,0,0.468964309
36,0.036992,28,0,0.468964309
37,0.037889,-45,0,0.468964309
38,0.038690,-45,0,0.468964309
39,0.039934,-45,0,0.468964309
40,0.040735,-45,0,0.468964309
41,0.041993,14,0,0.468964309
42,0.042881,14,0,0.468964309
43,0.043747,-45,0,0.468964309
44,0.044633,-45,0,0.468964309
45,0.046006,14,0,0.468964309
46,0.046897,14,0,0.468964309
47,0.047698,-52,0,0.485847116
48,0.048947,-52,0,0.485847116
49,0.049749,-59,0,0.485847116
50,0.051000,-59,0,0.485847116
51,0.051894,21,0,0.485847116
52,0.052696,21,0,0.485847116
53,0.053939,14,0,0.485847116
54,0.054740,14,0,0.485847116
55,0.055992,14,0,0.485847116
56,0.056961,14,0,0.485847116
57,0.057951,14,0,0.485847116
58,0.058752,14,0,0.485847116
59,0.060001,-52,0,0.485847116
60,0.060889,-52,0,0.485847116
61,0.061690,88,0,0.485847116
62,0.062731,88,0,0.485847116
63,0.064001,-52,0,0.485847116
64,0.064889,-52,0,0.485847116
65,0.065690,14,0,0.485847116
66,0.066939,-52,0,0.485847116
67,0.067740,-52,0,0.485847116
68,0.068992,21,0,0.485847116
69,0.069966,21,0,0.485847116
70,0.070946,-59,0,0.495578885
71,0.071747,-59,0,0.495578885
72,0.072987,14,0,0.495578885
73,0.073788,14,0,0.495578885
74,0.074651,14,0,0.495578885
75,0.075913,21,0,0.495578885
76,0.076714,21,0,0.495578885
77,0.077966,14,0,0.495578885
78,0.078767,14,0,0.495578885
79,0.079636,14,0,0.495578885
80,0.080911,-45,0,0.495578885
81,0.081712,-45,0,0.495578885
82,0.082655,-45,0,0.495578885
83,0.084019,-66,0,0.495578885
84,0.084911,21,0,0.495578885
85,0.085712,21,0,0.495578885
86,0.086961,-39,0,0.495578885
87,0.087762,-39,0,0.495578885
88,0.088624,-39,0,0.495578885
89,0.089903,14,0,0.487934798
90,0.090704,14,0,0.487934798
91,0.091958,-59,0,0.487934798
92,0.092759,14,0,0.487934798
93,0.093623,14,0,0.487934798
94,0.094992,14,0,0.487934798
95,0.095969,14,0,0.487934798
96,0.096770,-59,0,0.487934798
97,0.097632,-59,0,0.487934798
98,0.098902,7,0,0.487934798
99,0.099704,7,0,0.487934798
100,0.100952,-45,0,0.487934798
101,0.101754,-45,0,0.487934798
102,0.102628,-45,0,0.487934798
103,0.103897,-52,0,0.487934798
104,0.104698,14,0,0.487934798
105,0.105948,14,0,0.487934798
106,0.106749,-52,0,0.487934798
107,0.107695,-52,0,0.487934798
108,0.109053,21,0,0.487934798
109,0.109939,21,0,0.487934798
110,0.110740,-52,0,0.492728353
111,0.111998,-52,0,0.492728353
112,0.112895,7,0,0.492728353
113,0.113696,7,0,0.492728353
114,0.115093,-66,0,0.492728353
115,0.115979,-66,0,0.492728353
116,0.116780,14,0,0.492728353
117,0.117650,14,0,0.492728353
118,0.118921,-45,0,0.492728353
119,0.119722,-45,0,0.492728353
120,0.120654,21,0,0.492728353
121,0.122011,21,0,0.492728353
122,0.122898,21,0,0.492728353
123,0.123699,21,0,0.492728353
124,0.124952,21,0,0.492728353
125,0.125753,21,0,0.492728353
126,0.126623,21,0,0.492728353
127,0.127897,21,0,0.492728353
128,0.128698,-52,0,0.492728353
129,0.129948,-52,0,0.492728353
130,0.130749,14,0,0.492728353
131,0.132006,14,0,0.480939329
132,0.132900,14,0,0.480939329
133,0.133773,14,0,0.480939329
134,0.134763,14,0,0.480939329
135,0.135646,14,0,0.480939329
136,0.136912,14,0,0.480939329
137,0.137714,14,0,0.480939329
138,0.138965,14,0,0.480939329
139,0.139767,14,0,0.480939329
140,0.140636,-52,0,0.480939329
141,0.141917,-52,0,0.480939329
142,0.142718,21,0,0.480939329
143,0.143961,21,0,0.480939329
144,0.144762,14,0,0.480939329
145,0.145736,14,0,0.480939329
146,0.146721,14,0,0.480939329
147,0.148001,14,0,0.480939329
148,0.148889,14,0,0.480939329
149,0.149690,14,0,0.480939329
150,0.150939,14,0,0.480939329
151,0.151740,14,0,0.480939329
152,0.152992,7,0,0.480699033
153,0.153890,7,0,0.480699033
154,0.154691,-52,0,0.480699033
155,0.155934,-52,0,0.480699033
156,0.156735,-45,0,0.480699033
157,0.157680,-45,0,0.480699033
158,0.158644,14,0,0.480699033
159,0.159921,14,0,0.480699033
160,0.160722,14,0,0.480699033
161,0.161980,14,0,0.480699033
162,0.162781,21,0,0.480699033
163,0.163641,21,0,0.480699033
164,0.164912,14,0,0.480699033
165,0.165714,14,0,0.480699033
166,0.166966,14,0,0.480699033
167,0.167767,14,0,0.480699033
168,0.168813,-52,0,0.480699033
169,0.169689,-52,0,0.480699033
170,0.170659,7,0,0.480699033
171,0.172018,7,0,0.480699033
172,0.172903,14,0,0.480699033
173,0.173704,14,0,0.480699033
174,0.174952,-52,0,0.480699033
175,0.175754,-52,0,0.480699033
176,0.176623,14,0,0.480699033
177,0.177897,14,0,0.491121829
178,0.178699,7,0,0.491121829
179,0.179947,7,0,0.491121829
180,0.180749,14,0,0.491121829
181,0.182006,-59,0,0.491121829
182,0.182889,-59,0,0.491121829
183,0.183757,-59,0,0.491121829
184,0.184646,82,0,0.491121829
185,0.185646,82,0,0.491121829
186,0.186920,14,0,0.491121829
187,0.187722,14,0,0.491121829
188,0.188974,-52,0,0.491121829
189,0.189775,-52,0,0.491121829
190,0.190633,7,0,0.491121829
191,0.191908,7,0,0.491121829
192,0.192710,7,0,0.491121829
193,0.193953,-59,0,0.491121829
194,0.194754,-59,0,0.491121829
195,0.195770,-59,0,0.479496896
196,0.196655,-45,0,0.479496896
197,0.197710,-45,0,0.479496896
198,0.198678,14,0,0.479496896
199,0.199947,7,0,0.479496896
200,0.200937,7,0,0.479496896
201,0.201979,-59,0,0.479496896
202,0.202781,-59,0,0.479496896
203,0.203845,-45,0,0.479496896
204,0.204886,-45,0,0.479496896
205,0.205688,-45,0,0.479496896
206,0.206732,14,0,0.479496896
207,0.208168,-59,0,0.479496896
208,0.209046,-59,0,0.479496896
209,0.210067,-39,0,0.479496896
210,0.211146,-39,0,0.479496896
211,0.212038,21,0,0.479496896
212,0.212994,21,0,0.479496896
213,0.213883,-120,0,0.479496896
214,0.214768,-120,0,0.479496896
215,0.215655,-120,0,0.479496896
216,0.216926,14,0,0.472634375
217,0.217727,21,0,0.472634375
218,0.218965,21,0,0.472634375
219,0.219767,-45,0,0.472634375
220,0.220636,-45,0,0.472634375
221,0.221917,-52,0,0.472634375
222,0.222972,-52,0,0.472634375
223,0.223773,21,0,0.472634375
224,0.224633,21,0,0.472634375
225,0.225903,14,0,0.472634375
226,0.226777,14,0,0.472634375
227,0.227659,14,0,0.472634375
228,0.228645,14,0,0.472634375
229,0.229921,-45,0,0.472634375
230,0.230722,-45,0,0.472634375
231,0.231980,14,0,0.472634375
232,0.232781,14,0,0.472634375
233,0.233641,-52,0,0.472634375
234,0.234912,-52,0,0.472634375
235,0.235713,14,0,0.478897184
236,0.236966,14,0,0.478897184
237,0.237767,-45,0,0.478897184
238,0.238636,-45,0,0.478897184
239,0.239992,14,0,0.478897184
240,0.240958,14,0,0.478897184
241,0.241760,21,0,0.478897184
242,0.243000,21,0,0.478897184
243,0.243889,95,0,0.478897184
244,0.244690,95,0,0.478897184
245,0.245939,14,0,0.478897184
246,0.246740,14,0,0.478897184
247,0.247992,14,0,0.478897184
248,0.248889,14,0,0.478897184
249,0.249690,82,0,0.478897184
250,0.250934,82,0,0.478897184
251,0.251911,14,0,0.478897184
252,0.252712,14,0,0.478897184
253,0.253669,-59,0,0.478897184
254,0.254934,-59,0,0.478897184
255,0.255735,14,0,0.478897184
256,0.256987,14,0,0.478037745
257,0.257789,21,0,0.478037745
258,0.258651,21,0,0.478037745
259,0.259913,21,0,0.478037745
260,0.260714,21,0,0.478037745
261,0.261971,14,0,0.478037745
262,0.262773,14,0,0.478037745
263,0.263641,-52,0,0.478037745
264,0.265019,-52,0,0.478037745
265,0.266000,95,0,0.478037745
266,0.266888,95,0,0.478037745
267,0.267689,-59,0,0.478037745
268,0.268939,-59,0,0.478037745
269,0.269740,-59,0,0.478037745
270,0.270992,-59,0,0.478037745
271,0.271895,14,0,0.478037745
272,0.272696,14,0,0.478037745
273,0.273935,21,0,0.478037745
274,0.274736,21,0,0.478037745
275,0.275987,-45,0,0.478037745
276,0.276789,-45,0,0.478037745
277,0.277745,14,0,0.478037745
278,0.278733,14,0,0.485137284
279,0.280162,-52,0,0.485137284
280,0.281046,-52,0,0.485137284
281,0.281940,14,0,0.485137284
282,0.282741,14,0,0.485137284
283,0.283987,-59,0,0.485137284
284,0.284789,-59,0,0.485137284
285,0.285651,-45,0,0.485137284
286,0.286913,-45,0,0.485137284
287,0.287714,-242,0,0.485137284
288,0.288966,-242,0,0.485137284
289,0.289767,14,0,0.485137284
290,0.290726,14,0,0.485137284
291,0.291691,7,0,0.485137284
292,0.292974,7,0,0.485137284
293,0.293775,-52,0,0.485137284
294,0.294633,-52,0,0.485137284
295,0.295903,-52,0,0.485137284
296,0.296704,-52,0,0.485137284
297,0.297953,7,0,0.487611532
298,0.298754,7,0,0.487611532
299,0.299623,14,0,0.487611532
300,0.300897,14,0,0.487611532
301,0.301698,135,0,0.487611532
302,0.302644,135,0,0.487611532
303,0.304019,14,0,0.487611532
304,0.304911,14,0,0.487611532
305,0.305712,-52,0,0.487611532
306,0.306960,-52,0,0.487611532
307,0.307762,-52,0,0.487611532
308,0.309001,14,0,0.487611532
309,0.309889,14,0,0.487611532
310,0.310690,14,0,0.487611532
311,0.311945,-52,0,0.487611532
312,0.312746,-52,0,0.487611532
313,0.313993,14,0,0.487611532
314,0.314957,-45,0,0.487611532
315,0.315758,-45,0,0.487611532
316,0.316714,-45,0,0.464021236
317,0.317987,-66,0,0.464021236
318,0.318789,-66,0,0.464021236
319,0.319650,-52,0,0.464021236
320,0.320913,14,0,0.464021236
321,0.321714,14,0,0.464021236
322,0.322965,14,0,0.464021236
323,0.323767,14,0,0.464021236
324,0.324636,14,0,0.464021236
325,0.325911,14,0,0.464021236
326,0.326712,14,0,0.464021236
327,0.327647,-45,0,0.464021236
328,0.329007,-59,0,0.464021236
329,0.329889,-59,0,0.464021236
330,0.330939,14,0,0.464021236
331,0.331740,14,0,0.464021236
332,0.332987,21,0,0.464021236
333,0.333788,21,0,0.464021236
334,0.334650,21,0,0.464021236
335,0.335913,21,0,0.464021236
336,0.336714,-59,0,0.464021236
337,0.337966,-59,0,0.487013519
338,0.338767,88,0,0.487013519
339,0.339636,88,0,0.487013519
340,0.341019,21,0,0.487013519
341,0.342008,21,0,0.487013519
342,0.342889,14,0,0.487013519
343,0.343690,14,0,0.487013519
344,0.344939,-52,0,0.487013519
345,0.345740,-52,0,0.487013519
346,0.346992,14,0,0.487013519
347,0.347889,14,0,0.487013519
348,0.348690,-59,0,0.487013519
349,0.349934,-59,0,0.487013519
350,0.350735,21,0,0.487013519
351,0.351993,21,0,0.487013519
352,0.352881,1,0,0.487013519
353,0.353746,1,0,0.487013519
354,0.354726,7,0,0.487013519
355,0.356001,7,0,0.487013519
356,0.356889,14,0,0.487013519
357,0.357690,14,0,0.487013519
358,0.358939,-52,0,0.487013519
359,0.359740,-52,0,0.487013519
360,0.360992,82,0,0.47085306
361,0.361895,82,0,0.47085306
362,0.362696,7,0,0.47085306
363,0.363934,7,0,0.47085306
364,0.364735,82,0,0.47085306
365,0.366066,82,0,0.47085306
366,0.366952,-52,0,0.47085306
367,0.367927,-52,0,0.47085306
368,0.368728,-52,0,0.47085306
369,0.369974,-52,0,0.47085306
370,0.370776,-59,0,0.47085306
371,0.371633,-59,0,0.47085306
372,0.372912,82,0,0.47085306
373,0.373713,82,0,0.47085306
374,0.374966,-66,0,0.47085306
375,0.375767,-66,0,0.47085306
376,0.376636,-52,0,0.47085306
377,0.377911,-52,0,0.47085306
378,0.378713,21,0,0.47085306
379,0.379651,21,0,0.47085306
380,0.381010,14,0,0.47085306
381,0.381904,14,0,0.47085306
382,0.382705,-52,0,0.47085306
383,0.383953,-52,0,0.47085306
384,0.384754,-59,0,0.47085306
385,0.385623,-59,0,0.47085306
386,0.386670,14,0,0.47085306
387,0.387934,14,0,0.47085306
388,0.388735,7,0,0.486845672
389,0.389987,7,0,0.486845672
390,0.390789,88,0,0.486845672
391,0.391733,88,0,0.486845672
392,0.393000,-52,0,0.486845672
393,0.393988,-52,0,0.486845672
394,0.394802,14,0,0.486845672
395,0.395651,14,0,0.486845672
396,0.396913,14,0,0.486845672
397,0.397714,14,0,0.486845672
398,0.398966,7,0,0.486845672
399,0.399767,7,0,0.486845672
400,0.400636,21,0,0.486845672
401,0.401917,21,0,0.486845672
402,0.402718,-52,0,0.486845672
403,0.403961,-52,0,0.486845672
404,0.404923,21,0,0.482182801
405,0.405725,21,0,0.482182801
406,0.406677,14,0,0.482182801
407,0.407947,14,0,0.482182801
408,0.408749,14,0,0.482182801
409,0.410001,14,0,0.482182801
410,0.410889,21,0,0.482182801
411,0.411690,21,0,0.482182801
412,0.412939,14,0,0.482182801
413,0.413740,14,0,0.482182801
414,0.414992,14,0,0.482182801
415,0.415889,14,0,0.482182801
416,0.416789,-52,0,0.482182801
417,0.417677,-52,0,0.482182801
418,0.418657,21,0,0.482182801
419,0.419934,21,0,0.482182801
420,0.420735,-52,-3,0.482182801
421,0.421993,-52,-3,0.482182801
422,0.422881,-52,-3,0.482182801
423,0.423682,-52,-3,0.482182801
424,0.424926,14,0,0.482182801
425,0.425727,14,0,0.482182801
426,0.426965,21,0,0.482182801
427,0.427767,21,0,0.482182801
428,0.428636,-45,0,0.482182801
429,0.430019,-45,0,0.482182801
430,0.430911,-45,0,0.482182801
431,0.431903,-45,0,0.482182801
432,0.432705,-45,0,0.482182801
433,0.433948,14,0,0.482182801
434,0.434749,14,0,0.482182801
435,0.436001,14,0,0.482182801
436,0.436889,14,0,0.482182801
437,0.437690,14,0,0.482182801
438,0.438716,14,0,0.482182801
439,0.439987,75,0,0.482182801
440,0.440789,75,0,0.482182801
441,0.441651,75,0,0.482182801
442,0.442925,-59,0,0.484060377
443,0.443894,14,0,0.484060377
444,0.444695,14,0,0.484060377
445,0.445641,14,0,0.484060377
446,0.447056,-52,0,0.484060377
447,0.447939,7,0,0.484060377
448,0.448976,7,0,0.484060377
449,0.449777,7,0,0.484060377
450,0.450633,14,0,0.484060377
451,0.451658,14,0,0.484060377
452,0.453120,21,0,0.484060377
453,0.454006,21,0,0.484060377
454,0.455039,21,0,0.484060377
455,0.456119,-45,0,0.484060377
456,0.457005,-45,0,0.484060377
457,0.458082,-59,0,0.484060377
458,0.459099,-59,0,0.484060377
459,0.459979,-45,0,0.484060377
460,0.461062,-45,0,0.484060377
461,0.461945,82,0,0.484060377
462,0.462912,82,0,0.4824301
463,0.463904,204,0,0.4824301
464,0.464705,204,0,0.4824301
465,0.465948,14,0,0.4824301
466,0.466749,14,0,0.4824301
467,0.468001,-45,0,0.4824301
468,0.468889,-45,0,0.4824301
469,0.469690,21,0,0.4824301
470,0.470939,21,0,0.4824301
471,0.471740,21,0,0.4824301
472,0.472992,21,0,0.4824301
473,0.473890,7,0,0.4824301
474,0.474691,7,0,0.4824301
475,0.476019,14,0,0.4824301
476,0.476911,14,0,0.4824301
477,0.477901,14,0,0.4824301
478,0.478702,14,0,0.4824301
479,0.479947,-39,0,0.4824301
480,0.480749,-39,0,0.4824301
481,0.482007,14,0,0.4824301
482,0.482889,14,0,0.4824301
483,0.483690,21,0,0.498793572
484,0.484939,21,0,0.498793572
485,0.485740,14,0,0.498793572
486,0.486992,14,0,0.498793572
487,0.487889,82,0,0.498793572
488,0.488759,82,0,0.498793572
489,0.489646,-45,0,0.498793572
490,0.490638,-45,0,0.498793572
491,0.491677,-52,0,0.498793572
492,0.492960,-52,0,0.498793572
493,0.493762,82,0,0.498793572
494,0.495001,82,0,0.498793572
495,0.495889,-52,0,0.498793572
496,0.496690,-52,0,0.498793572
497,0.497939,-59,0,0.498793572
498,0.498741,-59,0,0.498793572
499,0.499992,21,0,0.498793572
500,0.500889,21,0,0.498793572
501,0.501758,-59,0,0.498793572
502,0.502745,-59,0,0.498793572
503,0.503632,-52,0,0.498793572
504,0.504903,-52,0,0.498793572
505,0.505704,14,0,0.498793572
506,0.506952,14,0,0.477426976
507,0.507753,-59,0,0.477426976
508,0.508623,-59,0,0.477426976
509,0.509897,21,0,0.477426976
510,0.510698,21,0,0.477426976
511,0.511953,14,0,0.477426976
512,0.512754,14,0,0.477426976
513,0.514001,-45,0,0.477426976
514,0.514972,-45,0,0.477426976
515,0.515773,-52,0,0.477426976
516,0.516728,-52,0,0.477426976
517,0.518001,7,0,0.477426976
518,0.518889,7,0,0.477426976
519,0.519690,14,0,0.477426976
520,0.520939,14,0,0.477426976
521,0.521740,14,0,0.477426976
522,0.522992,14,0,0.477426976
523,0.523889,-52,0,0.481619
524,0.524691,-52,0,0.481619
525,0.525934,-59,0,0.481619
526,0.526735,-59,0,0.481619
527,0.528054,21,0,0.481619
528,0.528939,21,0,0.481619
529,0.529912,14,0,0.481619
530,0.530713,14,0,0.481619
531,0.531966,-59,0,0.481619
532,0.532768,-59,0,0.481619
533,0.533628,-113,0,0.481619
534,0.534903,-113,0,0.481619
535,0.535704,-52,0,0.481619
536,0.536952,-52,0,0.481619
537,0.537754,82,0,0.481619
538,0.538623,82,0,0.481619
539,0.539897,75,0,0.481619
540,0.540758,75,0,0.481619
541,0.541646,7,0,0.481619
542,0.542645,7,0,0.481619
543,0.544077,21,0,0.481619
544,0.544952,21,0,0.484656155
545,0.545754,21,0,0.484656155
546,0.546623,21,0,0.484656155
547,0.547897,14,0,0.484656155
548,0.548698,14,0,0.484656155
549,0.549947,14,0,0.484656155
550,0.550749,14,0,0.484656155
551,0.552006,-45,0,0.484656155
552,0.552975,7,0,0.484656155
